sentence,classification,prev2,prev1,next1,next2
"Good morning and welcome to the regular meeting of City Council on Tuesday, April 1st 2025.",b,,,Will the clerk please take the roll?,"Mr Sharlin Here, Mr Coghill Here, Ms Gross Here, Mr Mosley Here, Mrs Kale-Smith, Mrs Strasburger Here, Mrs Warwick Mr Wilson, Mr LaValle, President Here, Five members present."
Will the clerk please take the roll?,i,,"Good morning and welcome to the regular meeting of City Council on Tuesday, April 1st 2025.","Mr Sharlin Here, Mr Coghill Here, Ms Gross Here, Mr Mosley Here, Mrs Kale-Smith, Mrs Strasburger Here, Mrs Warwick Mr Wilson, Mr LaValle, President Here, Five members present.","Thank you, Please rise for the Pledge of Allegiance."
"Mr Sharlin Here, Mr Coghill Here, Ms Gross Here, Mr Mosley Here, Mrs Kale-Smith, Mrs Strasburger Here, Mrs Warwick Mr Wilson, Mr LaValle, President Here, Five members present.",i,"Good morning and welcome to the regular meeting of City Council on Tuesday, April 1st 2025.",Will the clerk please take the roll?,"Thank you, Please rise for the Pledge of Allegiance.",Remain standing for a moment of silence.
"Thank you, Please rise for the Pledge of Allegiance.",i,Will the clerk please take the roll?,"Mr Sharlin Here, Mr Coghill Here, Ms Gross Here, Mr Mosley Here, Mrs Kale-Smith, Mrs Strasburger Here, Mrs Warwick Mr Wilson, Mr LaValle, President Here, Five members present.",Remain standing for a moment of silence.,I pledge allegiance to the flag of the United States of America and to the republic for which it stands: one nation under God.
Remain standing for a moment of silence.,i,"Mr Sharlin Here, Mr Coghill Here, Ms Gross Here, Mr Mosley Here, Mrs Kale-Smith, Mrs Strasburger Here, Mrs Warwick Mr Wilson, Mr LaValle, President Here, Five members present.","Thank you, Please rise for the Pledge of Allegiance.",I pledge allegiance to the flag of the United States of America and to the republic for which it stands: one nation under God.,"one nation under God, indivisible, with liberty and justice for all."
I pledge allegiance to the flag of the United States of America and to the republic for which it stands: one nation under God.,i,"Thank you, Please rise for the Pledge of Allegiance.",Remain standing for a moment of silence.,"one nation under God, indivisible, with liberty and justice for all.",Thank you very much.
"one nation under God, indivisible, with liberty and justice for all.",i,Remain standing for a moment of silence.,I pledge allegiance to the flag of the United States of America and to the republic for which it stands: one nation under God.,Thank you very much.,Our next order of business is to amend the agenda.
Thank you very much.,b,I pledge allegiance to the flag of the United States of America and to the republic for which it stands: one nation under God.,"one nation under God, indivisible, with liberty and justice for all.",Our next order of business is to amend the agenda.,Is there a motion to amend So moved?
Our next order of business is to amend the agenda.,b,"one nation under God, indivisible, with liberty and justice for all.",Thank you very much.,Is there a motion to amend So moved?,"Second, All those in favor say aye, Aye."
Is there a motion to amend So moved?,b,Thank you very much.,Our next order of business is to amend the agenda.,"Second, All those in favor say aye, Aye.",The agenda has been amended.
"Second, All those in favor say aye, Aye.",i,Our next order of business is to amend the agenda.,Is there a motion to amend So moved?,The agenda has been amended.,"Our next order of business is proclamations, and we have one today."
The agenda has been amended.,b,Is there a motion to amend So moved?,"Second, All those in favor say aye, Aye.","Our next order of business is proclamations, and we have one today.","So will all the wonderful women of Delta, Sigma, Theta, Sorority Incorporated please come forward."
