sentence,classification,prev2,prev1,next1,next2
Good afternoon.,b,,,"Welcome to Pittsburgh City Council's cablecast post agenda on the Vision Zero annual memo for today, April 8th 2025.","We'll start off with our guests, if you all want to introduce yourselves, and then I'll let you kick it off with your presentation."
"Welcome to Pittsburgh City Council's cablecast post agenda on the Vision Zero annual memo for today, April 8th 2025.",b,,Good afternoon.,"We'll start off with our guests, if you all want to introduce yourselves, and then I'll let you kick it off with your presentation.","Stephanie Gagne, Management Analyst for the City."
"We'll start off with our guests, if you all want to introduce yourselves, and then I'll let you kick it off with your presentation.",b,Good afternoon.,"Welcome to Pittsburgh City Council's cablecast post agenda on the Vision Zero annual memo for today, April 8th 2025.","Stephanie Gagne, Management Analyst for the City.",Angie Martinez: I'm Assistant Director with the City's Department of Mobility and Infrastructure.
"Stephanie Gagne, Management Analyst for the City.",i,"Welcome to Pittsburgh City Council's cablecast post agenda on the Vision Zero annual memo for today, April 8th 2025.","We'll start off with our guests, if you all want to introduce yourselves, and then I'll let you kick it off with your presentation.",Angie Martinez: I'm Assistant Director with the City's Department of Mobility and Infrastructure.,"Or Domi Panini Aminchotri, Senior Planning Manager of Transportation, with Domi Takina Wai, Assistant Director of Public Safety."
Angie Martinez: I'm Assistant Director with the City's Department of Mobility and Infrastructure.,i,"We'll start off with our guests, if you all want to introduce yourselves, and then I'll let you kick it off with your presentation.","Stephanie Gagne, Management Analyst for the City.","Or Domi Panini Aminchotri, Senior Planning Manager of Transportation, with Domi Takina Wai, Assistant Director of Public Safety.",Lisa Frank: I'm the City's Chief Operating Administrative Officer.
"Or Domi Panini Aminchotri, Senior Planning Manager of Transportation, with Domi Takina Wai, Assistant Director of Public Safety.",i,"Stephanie Gagne, Management Analyst for the City.",Angie Martinez: I'm Assistant Director with the City's Department of Mobility and Infrastructure.,Lisa Frank: I'm the City's Chief Operating Administrative Officer.,"Matt Jengieski, Director of Enforcement and Meter Services with the Pittsburgh Parking Authority."
Lisa Frank: I'm the City's Chief Operating Administrative Officer.,i,Angie Martinez: I'm Assistant Director with the City's Department of Mobility and Infrastructure.,"Or Domi Panini Aminchotri, Senior Planning Manager of Transportation, with Domi Takina Wai, Assistant Director of Public Safety.","Matt Jengieski, Director of Enforcement and Meter Services with the Pittsburgh Parking Authority.","Okay, go ahead."
"Matt Jengieski, Director of Enforcement and Meter Services with the Pittsburgh Parking Authority.",b,"Or Domi Panini Aminchotri, Senior Planning Manager of Transportation, with Domi Takina Wai, Assistant Director of Public Safety.",Lisa Frank: I'm the City's Chief Operating Administrative Officer.,"Okay, go ahead.","All right, thank you."
"Okay, go ahead.",b,Lisa Frank: I'm the City's Chief Operating Administrative Officer.,"Matt Jengieski, Director of Enforcement and Meter Services with the Pittsburgh Parking Authority.","All right, thank you.","All right, let me get started here."
"All right, thank you.",b,"Matt Jengieski, Director of Enforcement and Meter Services with the Pittsburgh Parking Authority.","Okay, go ahead.","All right, let me get started here.",So we are going to run through information.
