sentence,classification
"Good afternoon and welcome to Pittsburgh City Council's cablecast post agenda on Pittsburgh Waters flood mitigation projects for today, April 22nd 2025.",x
"We are joined today by Councilmember Sharland, and if we could have our folks from PWSA and the Army Corps of Engineers come on up to the table.",x
"Thank you, Do we have Here?",x
"we go, All righty, Great, Oh yeah, does someone want to come down to this one here?",x
"Yeah, maybe just everyone slide down.",x
What are we doing?,x
I don't know.,x
"All right, it's okay, Great, So, yeah.",x
"so just to sort of start off to say you know sort of why we're having this post agenda is it was announced by Pittsburgh Water that there's going to be a- I'll say a pause on a number of flood mitigation projects around the city, And one of those is in Pittsburgh.",x
"Okay, Okay, Okay, In my district, in Four Mile Run, And so that's why obviously it's of interest to me, but I know that there are a number across the city, So that's, I thought that this would be a good idea.",x
"So why don't we have everybody go down the line and introduce yourselves, and then we'll let you, you know, give any presentations or whatnot that you have, and then members can ask questions then, Okay, Thanks, Yeah, I'm Tony Eagle.",x
I'm the Senior Group Manager for Stormwater for Pittsburgh Water.,x
I'm Jen Persutti.,x
I'm the CFO for Pittsburgh Water.,x
"I'm Rebecca Zito, Senior Manager of Public Affairs for Pittsburgh Water.",x
"I'm Rachel Bean, Chief Engineering Officer for Pittsburgh Water.",x
I am Jen Cristobal.,x
I'm the Planning Section Chief for Army Corps of Engineers.,x
"Hi, my name is Mark Locheski.",x
"I am the Planning Chief for the US Army Corps of Engineers, Pittsburgh District.",x
Rebecca's bringing up our presentation.,x
I'm Jess Andresen.,x
I'm the Director of theWater Program And I'm the Director of the US Department of Water Resources.,x
And my name is Rachel Beattie And I'm the Director of the US Department of Water Resources.,x
I'm the Director of the US Department of Water Resources And I'm the Director of the US Department of Water Resources.,x
So I want to take an opportunity to thank you very much for calling this post agenda and for inviting us to talk about our stormwater program and all the updates that we can provide to you today.,x
"There we go, So on our agenda today.",x
we've gone through the welcome and the introductions.,x
We do want to talk to you all today about our 2025 capital priorities and what makes those priorities in our capital program.,x
"Thank you, Tony, will talk to you about our stormwater program.",x
"We'll also tell you our rationale for the projects being placed on hold and also what we're looking forward to, how we can help mitigate that.",x
"And then, of course, as we end, we're happy to answer any questions that anyone may have.",x
"So, as a little bit of background, Pittsburgh Water is a public authority.",x
We serve the public.,x
"So you can see, kind of right there in the middle we sit between what would be considered an investor-owned utility and a municipal government.",x
An investor-owned utility has shareholders.,x
they have investors.,x
We have none of that.,x
"Every dollar that we collect from our rate payers, it goes right back into our systems.",x
We have a commitment to protecting public health and the environment And we also have drivers of investment.,x
"Those are our drivers of investment as well as our rate affordability, which is always top of mind for Pittsburgh Water.",x
"Okay, So our water reliability plan is a once-in-a-generation plan.",x
It is a mandated plan for Pittsburgh Water by our regulators.,x
It is court ordered.,x
We have a 470 million investment in critical drinking water infrastructure that we plan to undertake here in the next five to eight years.,x
